Note Name,MIDI Note,Velocity
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
F#7,102,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G7,103,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
G#7,104,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A7,105,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
A#7,106,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
B7,107,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
C8,108,127
